,title,date,state,region,subregion
208,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,muncie / anderson,
209,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,muncie / anderson,
210,Donald Philby Trump,2016-11-20 17:09,Indiana,muncie / anderson,
211,Trump't Music Video,2016-11-17 16:02,Indiana,muncie / anderson,
212,10 gallon fish tank,2016-11-16 10:18,Indiana,muncie / anderson,
213,leopard geckos,2016-11-16 00:38,Indiana,muncie / anderson,
214,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,muncie / anderson,
215,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,muncie / anderson,
216,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,muncie / anderson,
217,TRUMP  IS THE REAL DEAL,2016-12-28 17:45,Indiana,muncie / anderson,
218,IN     2020        HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-28 17:45,Indiana,muncie / anderson,
219,"Justice for Wilbert Gay, Jr.",2016-12-28 16:13,Indiana,muncie / anderson,
220,NO TRUMP  IT WONT HAPPEN,2016-12-26 16:19,Indiana,muncie / anderson,
221,2020         HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-09 18:19,Indiana,muncie / anderson,
222,Trump refuels the Train,2016-12-05 19:35,Indiana,muncie / anderson,
223,"Boycott ABC, CBS & NBC",2016-11-16 00:03,Indiana,muncie / anderson,
224,The Truth about Muslims.. keep them out!!  vids,2016-12-28 16:28,Indiana,muncie / anderson,
225,the truth about black crime the media hides,2016-12-28 16:27,Indiana,muncie / anderson,
226,Trump was right ... Obama's birth certificate is a fake.. 9 points etc,2016-12-28 16:27,Indiana,muncie / anderson,
227,Sham? The Only SCAM is Dems,2016-12-28 12:07,Indiana,muncie / anderson,
228,Place to stay in DC in January!!,2016-12-23 20:21,Indiana,muncie / anderson,
229,Lightworkers united against Greed,2016-12-22 17:07,Indiana,muncie / anderson,
230,Demand The Electorial College Reverse This Sham of An Election ....,2016-12-18 11:36,Indiana,muncie / anderson,
231,"IQ in ""Western Nations"" Dropping as Percentage of Whites Shrink",2016-12-16 17:02,Indiana,muncie / anderson,
232,91% of Muslims in usa on food stamps... 68% cash ass,2016-12-10 15:52,Indiana,muncie / anderson,
233,Boycott Arab owned Gas Stations.. unfair,2016-12-10 15:50,Indiana,muncie / anderson,
234,$20 Fuzzy Holland lop bunny,2016-12-08 09:52,Indiana,muncie / anderson,
235,Too Late to Change Vote!,2016-12-07 22:59,Indiana,muncie / anderson,
236,Morkie puppies,2016-12-05 11:32,Indiana,muncie / anderson,
237,RE trump gold socks...,2016-11-30 21:50,Indiana,muncie / anderson,
238,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:23,Indiana,muncie / anderson,
239,RE Electoral College,2016-11-27 17:39,Indiana,muncie / anderson,
240,RE: to all trump supporters,2016-11-15 11:23,Indiana,muncie / anderson,
241,To peoples,2016-11-13 16:00,Indiana,muncie / anderson,
242,Pit bull puppies,2016-12-28 15:54,Indiana,muncie / anderson,
243,MAY BE ONE REASON SOME WOMAN ARE ANGRY AND FEEL ROBBED,2016-12-25 23:37,Indiana,muncie / anderson,
244,Demand The Electorial College Reverse This Sham of An Election ....,2016-11-30 12:03,Indiana,muncie / anderson,
245,Any Bloomington area Anti-fa groups around?,2016-12-05 12:04,Indiana,"bloomington, IN",
246,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,"bloomington, IN",
